Дата,Офіційний курс гривні
01.01.2013,7.9929999999999986
02.01.2013,7.9929999999999986
03.01.2013,7.9929999999999986
04.01.2013,7.9929999999999986
05.01.2013,7.9929999999999986
06.01.2013,7.9929999999999986
07.01.2013,7.9929999999999986
08.01.2013,7.9929999999999986
09.01.2013,7.9929999999999986
10.01.2013,7.9929999999999986
11.01.2013,7.9929999999999986
12.01.2013,7.9929999999999986
13.01.2013,7.9929999999999986
14.01.2013,7.9929999999999986
15.01.2013,7.9929999999999986
16.01.2013,7.9929999999999986
17.01.2013,7.9929999999999986
18.01.2013,7.9929999999999986
19.01.2013,7.9929999999999986
20.01.2013,7.9929999999999986
21.01.2013,7.9929999999999986
22.01.2013,7.9929999999999986
23.01.2013,7.9929999999999986
24.01.2013,7.9929999999999986
25.01.2013,7.9929999999999986
26.01.2013,7.9929999999999986
27.01.2013,7.9929999999999986
28.01.2013,7.9929999999999986
29.01.2013,7.9929999999999986
30.01.2013,7.9929999999999986
31.01.2013,7.9929999999999986
01.02.2013,7.9929999999999986
02.02.2013,7.9929999999999986
03.02.2013,7.9929999999999986
04.02.2013,7.9929999999999986
05.02.2013,7.9929999999999986
06.02.2013,7.9929999999999986
07.02.2013,7.9929999999999986
08.02.2013,7.9929999999999986
09.02.2013,7.9929999999999986
10.02.2013,7.9929999999999986
11.02.2013,7.9929999999999986
12.02.2013,7.9929999999999986
13.02.2013,7.9929999999999986
14.02.2013,7.9929999999999986
15.02.2013,7.9929999999999986
16.02.2013,7.9929999999999986
17.02.2013,7.9929999999999986
18.02.2013,7.9929999999999986
19.02.2013,7.9929999999999986
20.02.2013,7.9929999999999986
21.02.2013,7.9929999999999986
22.02.2013,7.9929999999999986
23.02.2013,7.9929999999999986
24.02.2013,7.9929999999999986
25.02.2013,7.9929999999999986
26.02.2013,7.9929999999999986
27.02.2013,7.9929999999999986
28.02.2013,7.9929999999999986
01.03.2013,7.9929999999999986
02.03.2013,7.9929999999999986
03.03.2013,7.9929999999999986
04.03.2013,7.9929999999999986
05.03.2013,7.9929999999999986
06.03.2013,7.9929999999999986
07.03.2013,7.9929999999999986
08.03.2013,7.9929999999999986
09.03.2013,7.9929999999999986
10.03.2013,7.9929999999999986
11.03.2013,7.9929999999999986
12.03.2013,7.9929999999999986
13.03.2013,7.9929999999999986
14.03.2013,7.9929999999999986
15.03.2013,7.9929999999999986
16.03.2013,7.9929999999999986
17.03.2013,7.9929999999999986
18.03.2013,7.9929999999999986
19.03.2013,7.9929999999999986
20.03.2013,7.9929999999999986
21.03.2013,7.9929999999999986
22.03.2013,7.9929999999999986
23.03.2013,7.9929999999999986
24.03.2013,7.9929999999999986
25.03.2013,7.9929999999999986
26.03.2013,7.9929999999999986
27.03.2013,7.9929999999999986
28.03.2013,7.9929999999999986
29.03.2013,7.9929999999999986
30.03.2013,7.9929999999999986
31.03.2013,7.9929999999999986
01.04.2013,7.9929999999999986
02.04.2013,7.9929999999999986
03.04.2013,7.9929999999999986
04.04.2013,7.9929999999999986
05.04.2013,7.9929999999999986
06.04.2013,7.9929999999999986
07.04.2013,7.9929999999999986
08.04.2013,7.9929999999999986
09.04.2013,7.9929999999999986
10.04.2013,7.9929999999999986
11.04.2013,7.9929999999999986
12.04.2013,7.9929999999999986
13.04.2013,7.9929999999999986
14.04.2013,7.9929999999999986
15.04.2013,7.9929999999999986
16.04.2013,7.9929999999999986
17.04.2013,7.9929999999999986
18.04.2013,7.9929999999999986
19.04.2013,7.9929999999999986
20.04.2013,7.9929999999999986
21.04.2013,7.9929999999999986
22.04.2013,7.9929999999999986
23.04.2013,7.9929999999999986
24.04.2013,7.9929999999999986
25.04.2013,7.9929999999999986
26.04.2013,7.9929999999999986
27.04.2013,7.9929999999999986
28.04.2013,7.9929999999999986
29.04.2013,7.9929999999999986
30.04.2013,7.9929999999999986
01.05.2013,7.9929999999999986
02.05.2013,7.9929999999999986
03.05.2013,7.9929999999999986
04.05.2013,7.9929999999999986
05.05.2013,7.9929999999999986
06.05.2013,7.9929999999999986
07.05.2013,7.9929999999999986
08.05.2013,7.9929999999999986
09.05.2013,7.9929999999999986
10.05.2013,7.9929999999999986
11.05.2013,7.9929999999999986
12.05.2013,7.9929999999999986
13.05.2013,7.9929999999999986
14.05.2013,7.9929999999999986
15.05.2013,7.9929999999999986
16.05.2013,7.9929999999999986
17.05.2013,7.9929999999999986
18.05.2013,7.9929999999999986
19.05.2013,7.9929999999999986
20.05.2013,7.9929999999999986
21.05.2013,7.9929999999999986
22.05.2013,7.9929999999999986
23.05.2013,7.9929999999999986
24.05.2013,7.9929999999999986
25.05.2013,7.9929999999999986
26.05.2013,7.9929999999999986
27.05.2013,7.9929999999999986
28.05.2013,7.9929999999999986
29.05.2013,7.9929999999999986
30.05.2013,7.9929999999999986
31.05.2013,7.9929999999999986
01.06.2013,7.9929999999999986
02.06.2013,7.9929999999999986
03.06.2013,7.9929999999999986
04.06.2013,7.9929999999999986
05.06.2013,7.9929999999999986
06.06.2013,7.9929999999999986
07.06.2013,7.9929999999999986
08.06.2013,7.9929999999999986
09.06.2013,7.9929999999999986
10.06.2013,7.9929999999999986
11.06.2013,7.9929999999999986
12.06.2013,7.9929999999999986
13.06.2013,7.9929999999999986
14.06.2013,7.9929999999999986
15.06.2013,7.9929999999999986
16.06.2013,7.9929999999999986
17.06.2013,7.9929999999999986
18.06.2013,7.9929999999999986
19.06.2013,7.9929999999999986
20.06.2013,7.9929999999999986
21.06.2013,7.9929999999999986
22.06.2013,7.9929999999999986
23.06.2013,7.9929999999999986
